epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,227.614,1.39186,1.3262,0.01578,0.90713,0.85529,0.90388,0.69559,0.84857,0.89605,0.01004,9.98551e-05,9.98551e-05,0.000244783
2,444.387,1.1787,1.11513,0.01286,0.90303,0.85396,0.90529,0.78325,0.5612,0.62938,0.00671,9.9446e-05,9.9446e-05,9.9446e-05
3,223.943,1.0905,0.97912,0.0118,0.90988,0.85316,0.90348,0.79314,0.52826,0.59876,0.00625,9.99112e-05,9.99112e-05,9.99112e-05
4,440.616,1.04732,0.90402,0.01119,0.90453,0.86057,0.90056,0.78179,0.55676,0.5533,0.0067,9.98003e-05,9.98003e-05,9.98003e-05
5,656.849,1.08497,0.9868,0.01171,0.91141,0.85871,0.90544,0.79921,0.5149,0.54869,0.00605,9.96452e-05,9.96452e-05,9.96452e-05
6,873.631,1.0638,0.93867,0.01141,0.90577,0.86079,0.90411,0.78518,0.55505,0.54127,0.0066,9.9446e-05,9.9446e-05,9.9446e-05
7,1087.19,1.06341,0.93206,0.01147,0.90344,0.86001,0.90295,0.77865,0.57292,0.56241,0.00692,9.92029e-05,9.92029e-05,9.92029e-05
8,1298.69,1.03831,0.89357,0.01118,0.90742,0.8526,0.90357,0.78401,0.55573,0.53041,0.00666,9.89163e-05,9.89163e-05,9.89163e-05
9,1510.62,1.03255,0.88618,0.01104,0.90992,0.84974,0.90059,0.78827,0.53187,0.58692,0.00638,9.85862e-05,9.85862e-05,9.85862e-05
10,1722.36,1.02362,0.89114,0.01086,0.90212,0.86108,0.90137,0.77544,0.57553,0.53035,0.00686,9.82132e-05,9.82132e-05,9.82132e-05
11,1932.95,1.01358,0.8745,0.01068,0.90686,0.8544,0.90155,0.78561,0.5552,0.63649,0.00669,9.77975e-05,9.77975e-05,9.77975e-05
12,2145.31,0.99905,0.85147,0.01061,0.89276,0.86964,0.89991,0.78947,0.53585,0.52305,0.00638,9.73396e-05,9.73396e-05,9.73396e-05
13,2359.66,0.99819,0.84589,0.01061,0.91361,0.86112,0.90326,0.78985,0.53953,0.49427,0.00651,9.68399e-05,9.68399e-05,9.68399e-05
14,2577.1,0.98749,0.82908,0.01044,0.91558,0.85299,0.90576,0.79601,0.52339,0.45576,0.00628,9.6299e-05,9.6299e-05,9.6299e-05
15,2789.88,0.97988,0.8125,0.01037,0.91335,0.85728,0.89902,0.79146,0.52026,0.46015,0.00623,9.57172e-05,9.57172e-05,9.57172e-05
