epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,154.484,0.52493,1.2947,0.77546,0.95831,0,0.87834,0.81113,0.88783,0.83078,0.87567,0.80833,0.88186,0.79491,0.32503,0.75734,0.87204,0.81696,0,9.98106e-05,9.98106e-05,0.000289205
2,290.643,0.48088,1.15256,0.66711,0.93346,0,0.87727,0.81894,0.89073,0.83745,0.87506,0.81588,0.88558,0.80085,0.3159,0.73579,0.91441,0.81541,0,9.99778e-05,9.99778e-05,9.99778e-05
3,426.327,0.47086,1.11476,0.64413,0.92669,0,0.88476,0.81998,0.89504,0.84067,0.88399,0.81381,0.88921,0.80231,0.31703,0.74212,0.87294,0.81556,0,9.99112e-05,9.99112e-05,9.99112e-05
4,567.02,0.46772,1.09915,0.62997,0.92765,0,0.87881,0.81925,0.89426,0.83888,0.87648,0.81627,0.88826,0.80254,0.32033,0.74225,0.94007,0.8167,0,9.98003e-05,9.98003e-05,9.98003e-05
5,700.386,0.46257,1.09923,0.61715,0.92322,0,0.88436,0.82275,0.89542,0.84031,0.88458,0.81643,0.8886,0.80251,0.32085,0.74634,0.75438,0.81701,0,9.96452e-05,9.96452e-05,9.96452e-05
6,835.562,0.45912,1.06304,0.6098,0.92044,0,0.88097,0.82899,0.89624,0.84173,0.87834,0.82377,0.88969,0.80357,0.31774,0.74574,0.74779,0.8164,0,9.9446e-05,9.9446e-05,9.9446e-05
7,973.859,0.45759,1.05741,0.59498,0.91883,0,0.89034,0.82254,0.89568,0.8411,0.88758,0.81707,0.88887,0.80245,0.31805,0.74967,0.72383,0.81711,0,9.92029e-05,9.92029e-05,9.92029e-05
8,1111.52,0.4517,1.04188,0.58462,0.91815,0,0.88874,0.82129,0.89577,0.84125,0.88888,0.81486,0.88925,0.80351,0.31923,0.74928,0.74991,0.81665,0,9.89163e-05,9.89163e-05,9.89163e-05
9,1251.84,0.45356,1.05452,0.5791,0.9172,0,0.89329,0.81841,0.89638,0.84167,0.89236,0.81405,0.88957,0.80265,0.31831,0.75309,0.77901,0.81736,0,9.85862e-05,9.85862e-05,9.85862e-05
10,1387.48,0.45613,1.04929,0.57459,0.91475,0,0.88833,0.81743,0.8925,0.8372,0.88654,0.81303,0.88612,0.79949,0.31964,0.75792,0.84199,0.8181,0,9.82132e-05,9.82132e-05,9.82132e-05
11,1522.59,0.44519,1.02026,0.56356,0.91079,0,0.88609,0.82178,0.89471,0.83984,0.88504,0.81732,0.88829,0.80185,0.31663,0.75699,0.72334,0.81865,0,9.77975e-05,9.77975e-05,9.77975e-05
12,1660.12,0.44918,1.02859,0.55592,0.91489,0,0.89588,0.81689,0.89467,0.83967,0.89364,0.8124,0.88799,0.80174,0.31543,0.75534,0.83554,0.81739,0,9.73396e-05,9.73396e-05,9.73396e-05
13,1792.94,0.44633,1.00548,0.54578,0.90868,0,0.88888,0.82078,0.89428,0.83853,0.88639,0.81689,0.8874,0.80059,0.32213,0.76814,0.7989,0.81769,0,9.68399e-05,9.68399e-05,9.68399e-05
14,1928.29,0.44893,1.0233,0.54298,0.91167,0,0.8885,0.81871,0.89222,0.83627,0.88517,0.81536,0.88518,0.79799,0.32211,0.75867,0.79422,0.81772,0,9.6299e-05,9.6299e-05,9.6299e-05
15,2075.47,0.44298,1.0026,0.54495,0.90864,0,0.87886,0.825,0.89196,0.83705,0.87794,0.81967,0.88519,0.79904,0.31694,0.76274,0.79497,0.8166,0,9.57172e-05,9.57172e-05,9.57172e-05
16,2211.55,0.43755,0.99395,0.53544,0.90408,0,0.87988,0.82444,0.89082,0.83702,0.87768,0.82168,0.88567,0.79839,0.31842,0.76311,0.88147,0.81677,0,9.50953e-05,9.50953e-05,9.50953e-05
