epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,811.467,0.43666,0.24664,0.00478,0.91977,0.87575,0.91022,0.83995,0.39682,0.41754,0.0047,4.99849e-06,4.99849e-06,4.99849e-06
2,1598.77,0.4175,0.24094,0.00453,0.92093,0.87463,0.90919,0.84018,0.39493,0.42043,0.00469,4.99901e-06,4.99901e-06,4.99901e-06
3,2380.64,0.41312,0.23994,0.00447,0.91934,0.87445,0.90902,0.84071,0.39383,0.41998,0.00466,4.99605e-06,4.99605e-06,4.99605e-06
4,3167.28,0.41253,0.23789,0.00446,0.91839,0.87564,0.90849,0.84017,0.39237,0.42016,0.00465,4.99112e-06,4.99112e-06,4.99112e-06
5,3951.18,0.40895,0.23387,0.00443,0.91997,0.87171,0.908,0.84033,0.39265,0.4239,0.00466,4.98423e-06,4.98423e-06,4.98423e-06
6,4741.02,0.4076,0.23605,0.0044,0.92247,0.87184,0.90928,0.84033,0.39211,0.42033,0.00466,4.97538e-06,4.97538e-06,4.97538e-06
7,5536.47,0.4071,0.23307,0.0044,0.91731,0.87371,0.90773,0.83975,0.39144,0.42216,0.00465,4.96457e-06,4.96457e-06,4.96457e-06
8,6317.76,0.40669,0.23213,0.00439,0.91761,0.87476,0.90814,0.84021,0.39151,0.42277,0.00465,4.95183e-06,4.95183e-06,4.95183e-06
9,7104.31,0.40365,0.23067,0.00434,0.92493,0.86582,0.90767,0.83929,0.39079,0.43112,0.00463,4.93717e-06,4.93717e-06,4.93717e-06
10,7886.26,0.40352,0.22821,0.00435,0.92011,0.86975,0.90715,0.83932,0.3905,0.42936,0.00463,4.92059e-06,4.92059e-06,4.92059e-06
11,8676.25,0.40214,0.22815,0.00433,0.91946,0.87158,0.9066,0.83908,0.3896,0.42831,0.00462,4.90211e-06,4.90211e-06,4.90211e-06
12,9463.72,0.4017,0.22934,0.00432,0.9212,0.86928,0.90654,0.83885,0.39035,0.43052,0.00463,4.88176e-06,4.88176e-06,4.88176e-06
13,10250.6,0.39996,0.22579,0.0043,0.91676,0.87263,0.90587,0.83749,0.39029,0.43576,0.00463,4.85955e-06,4.85955e-06,4.85955e-06
