epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,831.165,0.63531,0.41425,0.00749,0.91472,0.86937,0.90987,0.81916,0.4709,0.45388,0.00556,9.99708e-06,9.99708e-06,9.99708e-06
2,1639.22,0.62218,0.40151,0.00731,0.91574,0.87001,0.91153,0.82752,0.44311,0.43328,0.00519,9.99803e-06,9.99803e-06,9.99803e-06
3,2456.38,0.61474,0.39312,0.00721,0.9139,0.87221,0.91097,0.8286,0.43729,0.43158,0.00514,9.99211e-06,9.99211e-06,9.99211e-06
4,3259.77,0.61145,0.3853,0.00717,0.91308,0.87643,0.91263,0.83021,0.43935,0.42175,0.00518,9.98225e-06,9.98225e-06,9.98225e-06
5,4065.82,0.6075,0.38202,0.00708,0.91749,0.87204,0.91194,0.83098,0.43534,0.42023,0.00513,9.96846e-06,9.96846e-06,9.96846e-06
6,4872.4,0.60643,0.37904,0.00709,0.92226,0.86981,0.91185,0.82883,0.43987,0.42122,0.00517,9.95075e-06,9.95075e-06,9.95075e-06
7,5677.54,0.59953,0.37576,0.00695,0.91039,0.87722,0.91295,0.83199,0.43509,0.4211,0.00513,9.92915e-06,9.92915e-06,9.92915e-06
8,6483.73,0.59734,0.36552,0.00695,0.91497,0.87468,0.91286,0.83382,0.42877,0.42252,0.00507,9.90367e-06,9.90367e-06,9.90367e-06
9,7289.98,0.59275,0.36316,0.00689,0.91386,0.8753,0.91254,0.8341,0.42854,0.41838,0.00505,9.87433e-06,9.87433e-06,9.87433e-06
10,8092.71,0.5921,0.3651,0.00689,0.91445,0.87476,0.9118,0.83346,0.42743,0.41937,0.00504,9.84117e-06,9.84117e-06,9.84117e-06
11,8902.49,0.59005,0.36078,0.00683,0.91586,0.87209,0.91145,0.83281,0.42711,0.42195,0.00503,9.80423e-06,9.80423e-06,9.80423e-06
12,9711.24,0.58846,0.35842,0.00684,0.91975,0.87104,0.91132,0.83242,0.43057,0.41691,0.00508,9.76352e-06,9.76352e-06,9.76352e-06
13,10518,0.58607,0.35517,0.00679,0.91781,0.87387,0.91214,0.83367,0.42715,0.41591,0.00505,9.71911e-06,9.71911e-06,9.71911e-06
14,11321.1,0.5832,0.35014,0.00675,0.92256,0.87142,0.91239,0.83462,0.42377,0.41483,0.00498,9.67102e-06,9.67102e-06,9.67102e-06
15,12131.2,0.58246,0.35024,0.00675,0.91936,0.87514,0.91228,0.83493,0.42139,0.41425,0.00495,9.61931e-06,9.61931e-06,9.61931e-06
16,12938.4,0.58022,0.34673,0.00671,0.91759,0.87646,0.91178,0.83511,0.42081,0.41446,0.00495,9.56403e-06,9.56403e-06,9.56403e-06
17,13742.2,0.57898,0.34554,0.00669,0.91753,0.87627,0.91167,0.83477,0.42272,0.4153,0.00498,9.50523e-06,9.50523e-06,9.50523e-06
18,14545.7,0.57617,0.34271,0.00664,0.91715,0.87641,0.91156,0.83457,0.4223,0.41657,0.00498,9.44297e-06,9.44297e-06,9.44297e-06
19,15354.2,0.57799,0.34463,0.00666,0.91576,0.87864,0.91158,0.83489,0.42147,0.41535,0.00497,9.37731e-06,9.37731e-06,9.37731e-06
20,16161.2,0.57626,0.34118,0.00665,0.91995,0.87498,0.91151,0.83494,0.42058,0.41443,0.00496,9.30832e-06,9.30832e-06,9.30832e-06
