epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,639.423,0.30009,0.61074,0.29322,0.81934,0,0.89069,0.83301,0.89793,0.84823,0.88515,0.83021,0.89144,0.8071,0.30165,0.73002,0.5907,0.81267,0,4.99841e-06,4.99841e-06,4.99841e-06
2,1205.13,0.29817,0.60806,0.29152,0.8178,0,0.89055,0.83282,0.89825,0.84799,0.8888,0.82821,0.89212,0.80719,0.30187,0.72932,0.61593,0.81277,0,4.99901e-06,4.99901e-06,4.99901e-06
3,1728.26,0.29852,0.60869,0.29041,0.81875,0,0.89314,0.82961,0.89821,0.84795,0.88954,0.82603,0.89116,0.80672,0.30167,0.73148,0.58905,0.81288,0,4.99605e-06,4.99605e-06,4.99605e-06
4,2280.84,0.29836,0.60932,0.28958,0.81917,0,0.89233,0.82971,0.89832,0.84839,0.88873,0.82654,0.892,0.80688,0.30209,0.73334,0.59769,0.81321,0,4.99112e-06,4.99112e-06,4.99112e-06
5,2834.31,0.29783,0.6078,0.28897,0.81797,0,0.89444,0.83058,0.89912,0.84917,0.89157,0.82677,0.89294,0.80786,0.30089,0.73108,0.59989,0.81264,0,4.98423e-06,4.98423e-06,4.98423e-06
6,3407.16,0.29741,0.60687,0.28806,0.81704,0,0.89792,0.82829,0.8982,0.84857,0.89403,0.8249,0.89186,0.80724,0.30052,0.73114,0.60497,0.81224,0,4.97538e-06,4.97538e-06,4.97538e-06
7,3982.41,0.29663,0.60596,0.28648,0.81802,0,0.89733,0.82819,0.89775,0.84851,0.89371,0.82501,0.89175,0.80699,0.30181,0.7329,0.59744,0.81306,0,4.96457e-06,4.96457e-06,4.96457e-06
8,4556.74,0.29644,0.6041,0.28524,0.81737,0,0.89446,0.82956,0.89768,0.84875,0.89097,0.82695,0.89206,0.80728,0.30092,0.73289,0.60522,0.81245,0,4.95183e-06,4.95183e-06,4.95183e-06
9,5129.91,0.2967,0.60544,0.28563,0.8174,0,0.893,0.83161,0.89756,0.84883,0.89046,0.82812,0.89184,0.80733,0.30031,0.73188,0.59341,0.81267,0,4.93717e-06,4.93717e-06,4.93717e-06
10,5699.42,0.29607,0.60428,0.28561,0.81528,0,0.89317,0.83146,0.89761,0.84853,0.89077,0.82794,0.89227,0.80702,0.30135,0.73365,0.59993,0.81243,0,4.92059e-06,4.92059e-06,4.92059e-06
11,6274.32,0.29568,0.60293,0.28451,0.81764,0,0.89301,0.8323,0.89769,0.84888,0.88932,0.82902,0.89187,0.80742,0.30008,0.73316,0.60255,0.81284,0,4.90211e-06,4.90211e-06,4.90211e-06
12,6820.97,0.2956,0.60086,0.28488,0.81671,0,0.89506,0.83181,0.8981,0.84879,0.89142,0.82859,0.89211,0.80696,0.30088,0.73555,0.60867,0.81217,0,4.88176e-06,4.88176e-06,4.88176e-06
13,7366.06,0.29456,0.59988,0.28307,0.81685,0,0.8931,0.83102,0.89738,0.84858,0.89135,0.82666,0.89171,0.80684,0.30094,0.73569,0.60421,0.81252,0,4.85955e-06,4.85955e-06,4.85955e-06
14,7884.72,0.29456,0.60183,0.28276,0.81599,0,0.89303,0.83089,0.89756,0.84842,0.88962,0.82739,0.89141,0.80643,0.30084,0.73711,0.60854,0.81251,0,4.83551e-06,4.83551e-06,4.83551e-06
15,8411.56,0.29416,0.60051,0.2822,0.81577,0,0.89429,0.82985,0.89798,0.84818,0.89072,0.8267,0.89171,0.80641,0.3008,0.73771,0.60632,0.81249,0,4.80965e-06,4.80965e-06,4.80965e-06
