epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,541.987,0.32822,0.69213,0.35014,0.84328,0,0.88708,0.83121,0.89788,0.8467,0.88273,0.82754,0.89203,0.80685,0.30599,0.72635,0.5993,0.81304,0,9.99685e-06,9.99685e-06,9.99685e-06
2,1070.67,0.32592,0.6867,0.34404,0.84164,0,0.89283,0.82867,0.89978,0.84772,0.88734,0.82546,0.89311,0.80763,0.30613,0.72562,0.6234,0.81313,0,9.99803e-06,9.99803e-06,9.99803e-06
3,1596.87,0.32553,0.68025,0.33855,0.84012,0,0.89241,0.82843,0.89771,0.84673,0.88763,0.82497,0.8924,0.80753,0.30593,0.72461,0.61287,0.81238,0,9.99211e-06,9.99211e-06,9.99211e-06
4,2132.8,0.32473,0.68415,0.33896,0.83943,0,0.89261,0.82814,0.89824,0.84722,0.89165,0.82184,0.89211,0.80739,0.30505,0.72508,0.59979,0.81255,0,9.98225e-06,9.98225e-06,9.98225e-06
5,2655.23,0.32298,0.67818,0.33651,0.83857,0,0.89587,0.82569,0.89817,0.84733,0.89056,0.82361,0.89254,0.80704,0.30488,0.72473,0.61483,0.81329,0,9.96846e-06,9.96846e-06,9.96846e-06
6,3195.31,0.32168,0.67688,0.33294,0.8392,0,0.89165,0.83079,0.89846,0.84726,0.88818,0.82735,0.89215,0.80718,0.30516,0.72543,0.61217,0.81289,0,9.95075e-06,9.95075e-06,9.95075e-06
7,3719.12,0.32208,0.67321,0.33205,0.83889,0,0.88856,0.83327,0.89859,0.84768,0.88428,0.83026,0.89234,0.80749,0.3046,0.72806,0.60438,0.81268,0,9.92915e-06,9.92915e-06,9.92915e-06
8,4246.79,0.32226,0.67424,0.33163,0.83859,0,0.89044,0.8332,0.89901,0.84823,0.88577,0.82959,0.89282,0.80777,0.30261,0.72627,0.61347,0.81177,0,9.90367e-06,9.90367e-06,9.90367e-06
9,4767.56,0.3209,0.67485,0.32851,0.83858,0,0.88597,0.83369,0.89806,0.84721,0.88247,0.83084,0.89194,0.80672,0.30346,0.72701,0.61585,0.81226,0,9.87433e-06,9.87433e-06,9.87433e-06
10,5295.12,0.3179,0.66621,0.32551,0.83607,0,0.88952,0.83188,0.89854,0.84808,0.88456,0.82899,0.89235,0.80764,0.30385,0.726,0.59703,0.81237,0,9.84117e-06,9.84117e-06,9.84117e-06
11,5818.13,0.31996,0.67004,0.326,0.83851,0,0.89276,0.83035,0.89838,0.84781,0.8892,0.82718,0.89209,0.80736,0.30247,0.72741,0.60253,0.81224,0,9.80423e-06,9.80423e-06,9.80423e-06
12,6346.82,0.31987,0.67089,0.32696,0.83723,0,0.89038,0.83204,0.89855,0.84811,0.88704,0.82841,0.89141,0.80739,0.30309,0.72921,0.5993,0.81245,0,9.76352e-06,9.76352e-06,9.76352e-06
13,6870.43,0.31787,0.66602,0.32305,0.83675,0,0.89629,0.8283,0.89796,0.84795,0.89304,0.82545,0.89213,0.80737,0.30308,0.72789,0.59527,0.81272,0,9.71911e-06,9.71911e-06,9.71911e-06
14,7402.64,0.31711,0.66235,0.3211,0.83573,0,0.89407,0.82952,0.89833,0.84784,0.89072,0.8266,0.89238,0.80749,0.30328,0.72775,0.59447,0.81279,0,9.67102e-06,9.67102e-06,9.67102e-06
15,7932.89,0.31705,0.66234,0.3219,0.83687,0,0.89187,0.83087,0.89864,0.8484,0.88845,0.82785,0.89225,0.80774,0.30247,0.72874,0.59535,0.81234,0,9.61931e-06,9.61931e-06,9.61931e-06
16,8454.18,0.31737,0.66174,0.32058,0.83535,0,0.89102,0.83162,0.8985,0.84859,0.88773,0.82833,0.89205,0.80775,0.30244,0.72942,0.59727,0.81221,0,9.56403e-06,9.56403e-06,9.56403e-06
17,8987.74,0.31581,0.66083,0.31896,0.83499,0,0.88888,0.83321,0.89834,0.84848,0.88688,0.82853,0.892,0.80766,0.30191,0.72924,0.59876,0.81197,0,9.50523e-06,9.50523e-06,9.50523e-06
18,9513.02,0.31614,0.66169,0.31834,0.83502,0,0.89153,0.83126,0.89874,0.84847,0.88981,0.82699,0.89158,0.80782,0.30181,0.73055,0.60067,0.81219,0,9.44297e-06,9.44297e-06,9.44297e-06
19,10047,0.31548,0.65561,0.31797,0.83452,0,0.89198,0.83144,0.89887,0.84864,0.88922,0.82821,0.892,0.808,0.30173,0.73108,0.59727,0.81226,0,9.37731e-06,9.37731e-06,9.37731e-06
20,10607.2,0.31547,0.65768,0.31772,0.83393,0,0.8919,0.83177,0.89849,0.84857,0.89063,0.82649,0.89139,0.80797,0.30144,0.73118,0.59421,0.81173,0,9.30832e-06,9.30832e-06,9.30832e-06
21,11194.1,0.31594,0.65727,0.3171,0.83545,0,0.89132,0.83226,0.89838,0.84851,0.88824,0.82923,0.89145,0.80777,0.30123,0.73162,0.59407,0.81159,0,9.23607e-06,9.23607e-06,9.23607e-06
22,11759.5,0.31554,0.65623,0.31371,0.83504,0,0.89264,0.83031,0.89767,0.84822,0.88969,0.8271,0.89141,0.80778,0.30121,0.73178,0.59694,0.81166,0,9.16062e-06,9.16062e-06,9.16062e-06
