epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,533.553,0.77517,1.76229,1.10574,0.76249,0.68424,0.76261,0.65267,0.569,4.65119,0.89639,0.00999679,0.00333226,0.00999679,0.00333226,0.00999679,0.00333226,0.00999679,0.00333226
2,1026.95,0.84392,1.16274,1.13266,0.80974,0.71413,0.78575,0.66679,0.5862,2.71734,0.91892,0.0197988,0.00659961,0.0197988,0.00659961,0.0197988,0.00659961,0.0197988,0.00659961
3,1511.35,0.90578,1.21453,1.17106,0.78802,0.70596,0.78089,0.65953,0.59528,3.39063,0.92513,0.0294029,0.00980095,0.0294029,0.00980095,0.0294029,0.00980095,0.0294029,0.00980095
4,1990.2,0.89439,1.17008,1.16885,0.82874,0.7406,0.8206,0.71223,0.54147,3.41854,0.89707,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,2468.87,0.83123,1.04829,1.1317,0.83982,0.76074,0.83842,0.73437,0.51135,1.83072,0.88292,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,2950.53,0.79531,0.97597,1.11313,0.85527,0.76489,0.84844,0.74965,0.49158,2.05417,0.87175,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,3430.61,0.77126,0.92443,1.09682,0.86229,0.78134,0.85686,0.76212,0.47668,1.53885,0.86572,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,3909.16,0.75788,0.89027,1.09135,0.88039,0.7785,0.86731,0.77574,0.46492,1.29811,0.85866,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,4387.8,0.74181,0.86358,1.08336,0.87019,0.80118,0.87021,0.78045,0.45589,1.42461,0.85653,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,4866.2,0.73203,0.84631,1.07639,0.87436,0.79732,0.87474,0.78576,0.44932,1.37562,0.85442,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,5342.96,0.72386,0.82764,1.07222,0.88047,0.79693,0.87843,0.79122,0.44348,1.57876,0.8501,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
