epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,796.234,0.72267,1.60658,0.00804,0.8407,0.77203,0.85071,0.74106,0.53377,0.67561,0.00638,0.00999663,0.00333221,0.00999663,0.00333221,0.00999663,0.00333221,0.00999663,0.00333221
2,1552.75,0.80632,1.04215,0.00922,0.8193,0.76206,0.83185,0.72542,0.56705,0.71412,0.00705,0.0197987,0.00659955,0.0197987,0.00659955,0.0197987,0.00659955,0.0197987,0.00659955
3,2294.04,0.91203,1.12536,0.01044,0.85285,0.74443,0.83452,0.71689,0.6244,0.69279,0.00781,0.0294027,0.0098009,0.0294027,0.0098009,0.0294027,0.0098009,0.0294027,0.0098009
4,3033.38,0.95743,1.14347,0.011,0.86406,0.786,0.86198,0.75671,0.56803,0.59788,0.00688,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,3774.17,0.91221,1.03842,0.0103,0.87436,0.78906,0.87047,0.77062,0.53953,0.54775,0.00654,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,4512.65,0.88063,0.97003,0.00985,0.87396,0.80959,0.8786,0.78611,0.51177,0.51855,0.00614,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,5250.97,0.8527,0.92097,0.00948,0.88502,0.80436,0.88462,0.79639,0.4912,0.49602,0.00586,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,5989.19,0.83679,0.89204,0.00923,0.8949,0.82411,0.89806,0.80938,0.48093,0.45763,0.00575,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,6727.46,0.82384,0.86307,0.0091,0.89369,0.83004,0.89637,0.81194,0.47121,0.45378,0.0056,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,7463.81,0.80776,0.83734,0.00891,0.8957,0.82681,0.89882,0.81639,0.46291,0.44751,0.00552,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,8199.12,0.80017,0.82001,0.00878,0.90056,0.82893,0.90035,0.82053,0.45299,0.44405,0.00537,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,8938.34,0.79032,0.80393,0.00867,0.89808,0.83748,0.90406,0.82461,0.45161,0.43162,0.00531,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,9679.41,0.78448,0.79329,0.00854,0.90542,0.83153,0.90225,0.82398,0.44616,0.42869,0.00527,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,10420,0.77516,0.76984,0.00845,0.90253,0.84187,0.9068,0.82886,0.44061,0.41456,0.00522,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,11157.7,0.76749,0.75153,0.00838,0.91187,0.83906,0.90874,0.83193,0.43641,0.40711,0.00518,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,11895.4,0.76403,0.74726,0.00826,0.90694,0.84653,0.91012,0.83331,0.43272,0.41,0.0051,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,12630.3,0.75824,0.73551,0.0082,0.90994,0.84354,0.91055,0.83521,0.43109,0.40833,0.00508,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,13372.5,0.75633,0.73104,0.00815,0.91374,0.8409,0.90992,0.83455,0.42885,0.40501,0.00505,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,14110.5,0.75053,0.7299,0.00816,0.91644,0.84224,0.91035,0.83571,0.42741,0.40473,0.00503,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,14852.1,0.74683,0.71531,0.00807,0.9089,0.84912,0.91092,0.83696,0.42508,0.40196,0.00501,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,15591.6,0.74696,0.70702,0.00808,0.91016,0.84936,0.91146,0.8372,0.42413,0.40219,0.00499,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,16331.5,0.74624,0.70506,0.00805,0.9077,0.85277,0.91187,0.83814,0.42316,0.40147,0.00498,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,17069.2,0.74057,0.69497,0.00802,0.91065,0.85036,0.91185,0.83843,0.42218,0.39996,0.00497,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,17807.8,0.73775,0.69198,0.008,0.90823,0.85105,0.91287,0.83972,0.42209,0.39864,0.00497,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,18549,0.7353,0.68709,0.00788,0.90765,0.85269,0.91231,0.83954,0.4214,0.39933,0.00496,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,19290.4,0.72875,0.68037,0.00786,0.91021,0.84978,0.91303,0.84018,0.42109,0.3984,0.00495,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,20028.9,0.72983,0.66672,0.00785,0.91091,0.85122,0.91347,0.84078,0.42113,0.39717,0.00496,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,20765.6,0.72741,0.66598,0.0079,0.91001,0.85312,0.91357,0.84077,0.42038,0.39744,0.00496,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,21501.3,0.71895,0.66036,0.00773,0.90953,0.85396,0.91378,0.84105,0.41996,0.39683,0.00496,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,22228.2,0.71902,0.65166,0.00774,0.90667,0.85751,0.91395,0.84155,0.41894,0.3972,0.00494,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,22949.2,0.71668,0.64537,0.0077,0.90631,0.85962,0.9146,0.84208,0.41913,0.39521,0.00494,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,23685.6,0.71845,0.64797,0.00769,0.90612,0.86106,0.91479,0.84229,0.41892,0.39454,0.00494,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,24425.4,0.71695,0.64524,0.00768,0.90069,0.86588,0.91485,0.84241,0.4192,0.39409,0.00495,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,25164.2,0.71229,0.63908,0.00763,0.90064,0.86696,0.91382,0.84202,0.4192,0.39312,0.00496,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,25902.9,0.70946,0.63594,0.00761,0.90082,0.86755,0.91447,0.84203,0.41881,0.39221,0.00495,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,26636.7,0.70603,0.63138,0.00755,0.90651,0.86192,0.91509,0.84265,0.41882,0.38989,0.00496,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,27374.4,0.7051,0.62734,0.00755,0.90979,0.86027,0.91532,0.843,0.41791,0.3894,0.00495,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,28109,0.70262,0.61505,0.00752,0.91167,0.85748,0.91546,0.84307,0.41755,0.39079,0.00494,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,28850.2,0.70118,0.61563,0.0075,0.91201,0.85744,0.91577,0.84361,0.41725,0.39004,0.00494,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,29592.5,0.69973,0.60771,0.00753,0.91326,0.85705,0.9159,0.84379,0.41726,0.38975,0.00494,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,30332.5,0.69812,0.60724,0.00749,0.91406,0.85711,0.91597,0.84436,0.41712,0.38981,0.00494,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,31073.3,0.69675,0.60763,0.0074,0.91863,0.85371,0.91612,0.84475,0.41685,0.39006,0.00494,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,31812.1,0.69113,0.5961,0.00737,0.9171,0.8553,0.91646,0.84506,0.41562,0.38813,0.00493,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
