family,model,test_set,metric,class,P,R,mAP50_or_fp_images,mAP50-95_or_fp_detections
bbox,bbox,with_bg,box,all,0.8199338001537848,0.7793612828601143,0.8291595468328969,0.7381907309138818
bbox,bbox,with_bg,box,paper,0.8100024199070949,0.8433908045977011,0.9011280617212978,0.8652374439305122
bbox,bbox,with_bg,box,plastic,0.7112211260767931,0.606059363467813,0.6698251940626005,0.5480243696335707
bbox,bbox,with_bg,box,can,0.8030886328629177,0.8411053540587219,0.8865242765002558,0.8376229094028818
bbox,bbox,with_bg,box,glass,0.8193970522104799,0.6980012665064707,0.7630439647888541,0.6702464219916195
bbox,bbox,with_bg,box,battery,0.8949078327773823,0.835629607382465,0.8985600596026598,0.7624495821541093
bbox,bbox,with_bg,box,vinyl,0.7623278470280249,0.7654207962981314,0.8044165976218813,0.6927284646443836
bbox,bbox,with_bg,box,general,0.9385916902138013,0.8659217877094972,0.8806186735327289,0.791025924640095
bbox,bbox,no_bg,box,all,0.8204268934902575,0.7793612828601143,0.829645008544114,0.7385607934374973
bbox,bbox,no_bg,box,paper,0.8111216887302639,0.8433908045977011,0.9015383088856987,0.865601677932289
bbox,bbox,no_bg,box,plastic,0.7112211260767931,0.606059363467813,0.6707517904469441,0.5486651591564852
bbox,bbox,no_bg,box,can,0.8030886328629177,0.8411053540587219,0.8867049354528076,0.8377670774701077
bbox,bbox,no_bg,box,glass,0.8207695837475044,0.6980012665064707,0.7634509838043417,0.6705588295233931
bbox,bbox,no_bg,box,battery,0.8949078327773823,0.835629607382465,0.8986320073715189,0.7624825169805166
bbox,bbox,no_bg,box,vinyl,0.7632877000231398,0.7654207962981314,0.8051484545501848,0.6933384026474565
bbox,bbox,no_bg,box,general,0.9385916902138013,0.8659217877094972,0.8812885792973023,0.7915118903522332
bbox,bbox_nobg,with_bg,box,all,0.8570945269101318,0.8076512988107779,0.8557566647047261,0.777732582616084
