model,metric,imgsz,mAP50-95,mAP50,P,R,inference_ms,plastic_mAP50-95,glass_mAP50-95,vinyl_mAP50-95
bbox_yolo26s_nobg,box,640,0.8718596182204256,0.9321815142147,0.9281946611246895,0.8920841436237064,5.020377133303555,0.8734465828618839,0.9279108300698944,0.7976595089304842
bbox_yolo26s_nobg,box,800,0.8724757170781113,0.9357931202683023,0.9382973429194884,0.886963436405437,8.123561800001577,0.8738041518456147,0.9226338988480423,0.8039777810480147
bbox_yolo26s_nobg,box,960,0.863692148107005,0.9360846171091184,0.9327540566579838,0.8819967697865448,11.870417200009495,0.8770176867802071,0.9095247003946565,0.800189884249255
bbox_yolo11n,box,640,0.8421533253272818,0.9096656867149191,0.9202157272925409,0.8496368214457751,2.2750448666338343,0.8459483294808476,0.925274043667085,0.7672473492617747
bbox_yolo11n,box,800,0.8417934739362274,0.9105439930831741,0.9174778743643319,0.8574342884943521,3.6981798666820396,0.8549427777529033,0.9264850571344232,0.7714200190269279
bbox_yolo11n,box,960,0.8326518912904615,0.9089704788638346,0.9181082601573076,0.832749295240289,5.382101133320248,0.8534877045947452,0.8944930890190983,0.7634074880753845
seg_yolo11n,box,640,0.8639620503986454,0.9120095923605831,0.8822238258754403,0.8628188469002215,2.9451917332965727,0.8434163201156422,0.9238306014178492,0.7947764627345317
seg_yolo11n,box,800,0.8601640965520776,0.9193087453290865,0.9000207069277523,0.8532690769316318,4.880667199991876,0.8548626663438815,0.9259544220604088,0.8160463864191115
seg_yolo11n,box,960,0.8211447772487157,0.909633332646731,0.894167438281271,0.8347990575609237,7.21306306667005,0.8564046233736115,0.9102794031770415,0.7999618079071594
seg_yolo11n,mask,640,0.8239664105721219,0.9037135222760881,0.8785039527859985,0.8592839481905754,2.9451917332965727,0.7885553439271357,0.8974863883750406,0.7504615146649899
seg_yolo11n,mask,800,0.8289969133566597,0.9122912396782635,0.8927609341388915,0.8511849122457547,4.880667199991876,0.8068701267493374,0.9073510478751798,0.7686616956628971
seg_yolo11n,mask,960,0.8027929410270278,0.907966947927388,0.8964728781765136,0.8365561856924693,7.21306306667005,0.8167623047264879,0.8990772491681795,0.7567682463095531
