  ep       시간         누적     box     cls     dfl       P       R   mAP50  mAP50-95  GPU_GB        lr  비고
--------------------------------------------------------------------------------------------------------
   1   747.0s    0:12:26  0.5732  1.1800  1.7186  0.7511  0.6698  0.7519    0.6656    3.63  0.009997  <- 최고
   2   714.1s    0:24:21  0.6534  1.2571  1.0946  0.7193  0.6644  0.7295    0.6313    3.63  0.019799  
   3   698.0s    0:35:59  0.7090  1.3550  1.1268  0.7218  0.6737  0.7459    0.6481    3.64  0.029403  
   4   690.5s    0:47:29  0.6942  1.3246  1.0734  0.7727  0.7156  0.7949    0.7083    3.64  0.029109  <- 최고
   5   698.9s    0:59:08  0.6372  1.2451  0.9569  0.8111  0.7440  0.8240    0.7456    3.64  0.028812  <- 최고
   6   686.6s    1:10:35  0.6040  1.1964  0.8934  0.8227  0.7481  0.8347    0.7633    3.64  0.028515  <- 최고
   7   695.1s    1:22:10  0.5845  1.1661  0.8458  0.8378  0.7581  0.8433    0.7764    3.64  0.028218  <- 최고
   8   693.2s    1:33:43  0.5665  1.1417  0.8154  0.8447  0.7682  0.8501    0.7846    3.64  0.027921  <- 최고
   9   688.5s    1:45:11  0.5585  1.1178  0.7950  0.8435  0.7788  0.8546    0.7908    3.64  0.027624  <- 최고
  10   691.9s    1:56:43  0.5471  1.1034  0.7730  0.8538  0.7795  0.8611    0.7992    3.64  0.027327  <- 최고
  11   691.4s    2:08:15  0.5419  1.0953  0.7569  0.8642  0.7791  0.8659    0.8063    3.64  0.027030  <- 최고
  12   687.6s    2:19:42  0.5356  1.0803  0.7429  0.8673  0.7785  0.8700    0.8108    3.64  0.026733  <- 최고
  13   614.3s    2:29:56  0.5301  1.0693  0.7322  0.8660  0.7880  0.8716    0.8143    3.64  0.026436  <- 최고
  14   740.2s    2:42:17  0.5234  1.0610  0.7168  0.8605  0.7912  0.8710    0.8141    3.64  0.026139  
  15   696.7s    2:53:53  0.5202  1.0471  0.7070  0.8666  0.7926  0.8727    0.8161    3.64  0.025842  <- 최고
  16   583.8s    3:03:37  0.5163  1.0364  0.7012  0.8657  0.7971  0.8749    0.8181    3.64  0.025545  <- 최고
  17   580.4s    3:13:18  0.5120  1.0399  0.6947  0.8579  0.8079  0.8769    0.8204    3.64  0.025248  <- 최고
---- 2026-09-11 10:28:30 18에포크부터 이어서 학습 (누적 시간은 재시작 시점부터 다시 셉니다) ----
  18   567.7s    0:09:27  0.5064  1.0291  0.6851  0.8608  0.8063  0.8778    0.8216    3.47  0.024951  <- 최고
  19   562.7s    0:18:50  0.5081  1.0312  0.6839  0.8635  0.8059  0.8784    0.8230    3.47  0.024654  <- 최고
  20   589.2s    0:28:39  0.5046  1.0307  0.6751  0.8686  0.8039  0.8787    0.8235    3.47  0.024357  <- 최고
  21   561.2s    0:38:00  0.5043  1.0223  0.6698  0.8676  0.8054  0.8787    0.8234    3.47  0.024060  
  22   539.8s    0:47:00  0.5033  1.0167  0.6673  0.8638  0.8067  0.8789    0.8242    3.47  0.023763  <- 최고
  23   542.0s    0:56:02  0.5010  1.0143  0.6647  0.8614  0.8091  0.8792    0.8245    3.47  0.023466  <- 최고
  24   534.3s    1:04:56  0.4978  1.0071  0.6541  0.8633  0.8071  0.8794    0.8247    3.47  0.023169  <- 최고
  25   546.3s    1:14:03  0.4941  1.0051  0.6528  0.8672  0.8048  0.8798    0.8252    3.47  0.022872  <- 최고
  26   538.2s    1:23:01  0.4938  0.9933  0.6489  0.8693  0.8019  0.8798    0.8257    3.47  0.022575  <- 최고
  27   540.3s    1:32:01  0.4905  0.9881  0.6413  0.8740  0.7998  0.8800    0.8261    3.47  0.022278  <- 최고
