epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,746.741,0.57322,1.18001,1.7186,0.96122,0,0.75113,0.66976,0.75194,0.66556,0.74719,0.66921,0.7469,0.64801,0.47369,0.97034,5.1756,0.89528,0,0.00999679,0.00333226,0.00999679,0.00333226,0.00999679,0.00333226,0.00999679,0.00333226
2,1460.79,0.65343,1.25714,1.09458,0.99335,0,0.71932,0.66437,0.72952,0.63132,0.72106,0.65755,0.72232,0.61604,0.52475,1.01821,5.05563,0.92776,0,0.0197988,0.00659961,0.0197988,0.00659961,0.0197988,0.00659961,0.0197988,0.00659961
3,2158.88,0.70898,1.35496,1.12678,1.02134,0,0.72181,0.67368,0.74585,0.64814,0.72001,0.6687,0.73791,0.62657,0.52752,1.06335,4.05882,0.93368,0,0.0294029,0.00980095,0.0294029,0.00980095,0.0294029,0.00980095,0.0294029,0.00980095
4,2849.35,0.69421,1.32462,1.07338,1.01806,0,0.77267,0.71555,0.79494,0.70833,0.76824,0.70934,0.7858,0.68645,0.46501,0.95229,2.39916,0.9011,0,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,3548.19,0.63719,1.24509,0.95691,0.99304,0,0.81109,0.74395,0.82401,0.74558,0.81245,0.73596,0.81589,0.71648,0.42091,0.90643,2.97104,0.87584,0,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,4234.82,0.60397,1.19638,0.89337,0.97887,0,0.82271,0.74815,0.83466,0.7633,0.82256,0.74558,0.8284,0.732,0.40082,0.85449,2.06823,0.86541,0,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,4929.8,0.58454,1.1661,0.84579,0.97054,0,0.83776,0.75805,0.84325,0.7764,0.83506,0.75321,0.83556,0.74361,0.38412,0.85172,1.75056,0.85753,0,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,5623.14,0.56652,1.1417,0.81535,0.96189,0,0.84466,0.76818,0.85012,0.78463,0.84514,0.76445,0.84367,0.75015,0.3754,0.8256,1.73762,0.85528,0,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,6311.54,0.55849,1.11776,0.79497,0.95735,0,0.84346,0.77878,0.85463,0.7908,0.84268,0.7717,0.84801,0.75596,0.36486,0.81384,1.69563,0.84783,0,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,7003.46,0.54714,1.10335,0.77301,0.95246,0,0.85379,0.77948,0.86112,0.7992,0.85696,0.77,0.85487,0.7634,0.35576,0.80367,1.47503,0.84139,0,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,7694.86,0.54189,1.09526,0.75689,0.95005,0,0.8642,0.77906,0.86586,0.80629,0.86421,0.77402,0.85897,0.76943,0.34776,0.78909,1.73733,0.83691,0,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,8382.44,0.53563,1.08034,0.74289,0.94859,0,0.8673,0.77852,0.86996,0.81085,0.8651,0.77318,0.86227,0.77202,0.34299,0.79046,1.5057,0.83422,0,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,8996.73,0.53007,1.06929,0.73216,0.94519,0,0.86603,0.78798,0.87159,0.81429,0.86474,0.78257,0.86539,0.77496,0.33868,0.77935,1.54271,0.83227,0,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,9736.85,0.52345,1.06098,0.71682,0.94367,0,0.86046,0.79124,0.871,0.81412,0.86107,0.78381,0.86468,0.77517,0.3357,0.77058,1.61043,0.83204,0,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,10433.5,0.52016,1.04707,0.70702,0.93928,0,0.86657,0.79263,0.87268,0.81605,0.86367,0.78869,0.86593,0.77674,0.33231,0.77293,1.47628,0.83009,0,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,11017.4,0.51626,1.03636,0.70118,0.93814,0,0.86569,0.79712,0.87488,0.81808,0.86396,0.79214,0.86815,0.77894,0.3301,0.77102,1.41958,0.82858,0,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,11597.7,0.51199,1.03994,0.6947,0.93711,0,0.85793,0.80793,0.87694,0.82035,0.8597,0.79866,0.87022,0.78058,0.32774,0.76732,1.37697,0.82787,0,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
