id,file,w,h,want,n_ann,frac
20207,000000020207.jpg,640,480,bed,2,1.0
268227,000000268227.jpg,640,480,"bed,bench",3,0.4832
398037,000000398037.jpg,640,480,"bed,bench,chair,couch,dining table",5,0.2645
509933,000000509933.jpg,640,480,"bed,bench,clock,dining table",4,0.2439
192277,000000192277.jpg,480,640,"bed,bench,person",3,0.5224
373655,000000373655.jpg,612,612,"bed,chair",2,1.1973
142051,000000142051.jpg,640,480,"bed,chair,clock",3,0.4644
399006,000000399006.jpg,640,480,"bed,chair,clock,couch",4,0.51
451824,000000451824.jpg,640,640,"bed,chair,clock,dining table",4,0.3202
11485,000000011485.jpg,640,480,"bed,chair,clock,laptop",4,0.4721
31634,000000031634.jpg,612,612,"bed,chair,couch",3,0.4703
558616,000000558616.jpg,640,480,"bed,chair,couch,dining table,tv",5,0.177
9119,000000009119.jpg,640,480,"bed,chair,couch,laptop",4,0.4188
512582,000000512582.jpg,640,480,"bed,chair,couch,person",6,0.4835
236424,000000236424.jpg,640,480,"bed,chair,couch,tv",4,0.313
48710,000000048710.jpg,640,480,"bed,chair,dining table",3,0.4603
267402,000000267402.jpg,640,480,"bed,chair,dining table,person",5,0.0629
282691,000000282691.jpg,640,480,"bed,chair,dining table,tv",4,0.2124
164005,000000164005.jpg,640,480,"bed,chair,keyboard,laptop,person",5,0.7695
184139,000000184139.jpg,640,480,"bed,chair,laptop",3,0.3979
499419,000000499419.jpg,640,480,"bed,chair,laptop,mouse,tv",5,0.708
105877,000000105877.jpg,640,480,"bed,chair,person",3,0.5897
49573,000000049573.jpg,640,480,"bed,chair,tv",3,0.4851
505086,000000505086.jpg,640,480,"bed,clock",2,0.8201
157480,000000157480.jpg,640,480,"bed,clock,couch,dining table",4,0.5392
103223,000000103223.jpg,613,640,"bed,clock,laptop,person",4,0.5532
422956,000000422956.jpg,640,480,"bed,clock,person",3,0.441
51871,000000051871.jpg,640,640,"bed,couch",3,1.3954
391646,000000391646.jpg,640,480,"bed,couch,dining table",3,0.553
4057,000000004057.jpg,640,480,"bed,couch,laptop,mouse",5,0.5863
297964,000000297964.jpg,480,640,"bed,couch,person",3,0.6207
191690,000000191690.jpg,640,480,"bed,couch,person,tv",4,0.3247
445853,000000445853.jpg,480,640,"bed,couch,tv",3,0.3641
72873,000000072873.jpg,640,480,"bed,dining table",2,0.0439
240267,000000240267.jpg,640,480,"bed,keyboard",2,0.2418
400525,000000400525.jpg,640,480,"bed,keyboard,laptop,person",4,0.8672
206701,000000206701.jpg,640,480,"bed,keyboard,mouse,tv",4,0.3783
458178,000000458178.jpg,640,480,"bed,keyboard,tv",3,0.2551
302323,000000302323.jpg,640,480,"bed,laptop",2,0.9591
309568,000000309568.jpg,640,480,"bed,laptop,mouse",4,0.6817
27727,000000027727.jpg,640,480,"bed,laptop,mouse,tv",5,0.5375
121358,000000121358.jpg,640,480,"bed,laptop,person",3,0.9537
278309,000000278309.jpg,640,480,"bed,mouse",3,0.4121
438060,000000438060.jpg,640,480,"bed,person",2,1.2376
124751,000000124751.jpg,640,480,"bed,person,tv",3,0.6569
358136,000000358136.jpg,640,499,"bed,tv",3,0.6881
181572,000000181572.jpg,480,640,bench,2,0.8898
364420,000000364420.jpg,640,480,"bench,chair",3,1.1698
252177,000000252177.jpg,526,640,"bench,chair,clock",3,0.175
477435,000000477435.jpg,480,640,"bench,chair,clock,dining table,person",6,0.0703
232886,000000232886.jpg,640,528,"bench,chair,clock,person",4,0.2656
70190,000000070190.jpg,640,480,"bench,chair,clock,tv",4,0.0551
462023,000000462023.jpg,480,640,"bench,chair,dining table",4,0.4694
20410,000000020410.jpg,640,480,"bench,chair,dining table,person",6,0.3333
501846,000000501846.jpg,640,481,"bench,chair,keyboard,laptop",5,0.3057
379210,000000379210.jpg,480,640,"bench,chair,person",4,0.9903
391406,000000391406.jpg,640,640,"bench,clock",2,0.1172
536619,000000536619.jpg,640,480,"bench,clock,person",4,0.6841
515820,000000515820.jpg,640,640,"bench,clock,person,tv",4,0.0337
565353,000000565353.jpg,480,640,"bench,couch,keyboard,laptop,person",5,0.9169
156458,000000156458.jpg,480,640,"bench,dining table",3,0.3698
340922,000000340922.jpg,640,480,"bench,dining table,person",4,0.3401
393094,000000393094.jpg,480,640,"bench,dining table,tv",4,0.1038
150599,000000150599.jpg,640,480,"bench,laptop,person",3,0.5614
408917,000000408917.jpg,640,480,"bench,person",3,0.8892
228683,000000228683.jpg,480,640,"bench,person,tv",5,0.0879
171595,000000171595.jpg,640,480,chair,2,0.9789
301956,000000301956.jpg,480,640,"chair,clock",2,0.1539
527464,000000527464.jpg,640,480,"chair,clock,couch",4,0.4213
242296,000000242296.jpg,640,480,"chair,clock,couch,laptop",4,0.2317
243926,000000243926.jpg,640,593,"chair,clock,couch,tv",5,0.1478
47611,000000047611.jpg,480,640,"chair,clock,dining table",3,0.2255
449422,000000449422.jpg,480,640,"chair,clock,dining table,laptop,mouse,person",6,0.4859
84295,000000084295.jpg,640,480,"chair,clock,dining table,person",4,0.2381
501242,000000501242.jpg,640,600,"chair,clock,keyboard,laptop,mouse,person",6,0.547
