split_group,dest,images
0d0647b2993d7cbc685d,test,1
f6aa9babf784f5546c6f,test,1
00087a7f0b8c4ff70584,test,1
054d5aede25fe1ab3945,test,1
c141f8893206a3fe396a,test,1
44b51f2cbd27cbc17ad1,test,2
01fa6226b10f8fc54c74,test,1
035dec5662ebe5e517bc,test,1
058e556c9d885cbd5206,test,1
079445453fa59724e709,test,1
079e0bf65d54a83189fe,test,1
090448255e86796a529a,test,1
46a7f4f7a1b72e3ca057,test,1
46f6a87623f7a83921ea,test,1
55c2a46a035965a9195f,test,1
863f563f4ebaff52cd68,test,1
86fe390433a16c478345,test,1
89b4e749b1eaffa484d4,test,1
a23d677c91f2ee339b55,test,1
a9650f5b21175c887c93,test,1
fde87be96924d61ae307,test,1
7f0d42055595a436ed78,test,2
b2846301a6561e2ec498,test,2
6496aaef04bebea6398b,test,105
1fb6348d69a05cfc1f30,test,100
2006ff4ba2ea1f924bb3,test,100
25977ed852b39b68f570,test,100
351d06049070d6e174e3,test,100
743b1f1eeb6d446730fd,test,80
ca3c48eb08593735c248,test,80
a7bf34e6ee3d335a6ac1,test,60
388d244b2c9993c2aa63,test,45
032c21b34fbe34359d1c,test,30
04f60cf3598da0ac8cc7,test,30
078a7f2e5ef89d5e3ec8,test,30
9db30cbb8b4e9774f298,test,21
a2db392f44d9e745623f,test,21
6a2611f9147cf55b81c5,test,11
01352165a568714da17f,test,5
52f326d27dec86701a7e,test,5
8466a8d8c74ddc05e860,test,5
857671e29de08c737b57,test,5
87f10f94d70a88436a0e,test,5
aceff9cbed246db0b478,test,5
f705b6e9866220c53eea,test,5
58f9aa85512130f7bd11,test,4
8babc0903ecfcbaab91d,test,4
93c1f9a7e0f31a169bf9,test,4
991c0b0bba5330a10efe,test,4
9ded95508a5c9970b810,test,4
a4618f49a4a55cb288a2,test,4
a59615bb9977dfc7bd7a,test,4
a743bf39d8dd195ed833,test,4
aac08e4247f3aae4d16e,test,4
b67c426fd6b7488e360c,test,4
bd03cdb4faf6504c204c,test,4
c717392cc362e386bec7,test,4
c92618fa728199a67994,test,4
cb5c59f9cf401e1da8e1,test,4
cce4b15ff46ad865854c,test,4
d44048059872a1eb5e4f,test,4
d562a0067fbf253d933f,test,4
e1bd814bcf191b611544,test,4
e672b78e9e53f69fce5a,test,4
e67fd30199e681897157,test,4
e7d496e50abf6b3023ff,test,4
e8fee2d036125a6dc0d1,test,4
ec79d3618639e7f8e2ef,test,4
ece5499ee60cb9611fa5,test,4
eda2d221be82a97dba07,test,4
ee29a038c5d6fea3f69b,test,4
fa350e9bd066b6fc8783,test,4
fb05d94c6775ae71fd86,test,4
fe3aa3682f2b39f655d4,test,4
fea033159dec4f6821f6,test,4
efa54cf299092632aa21,test,3
055b71a70cefae7b1061,test,2
05e4ef7299567266c895,test,2
0d9262b7fa65fe78cab3,test,2
0ea1b586ff10b41d5669,test,2
0f3ed3617a766066fe0d,test,2
169f75b4fb8e16e49f6a,test,2
1903eeeeeadb24daf454,test,2
1ac88246430a4644ee6c,test,2
2636fc5ae07a546def44,test,2
2d201e5d2f15a8260446,test,2
3229af1e4dbc70dcee2a,test,2
37889a0f8d4bee2f34f7,test,2
38d442e478183f30662f,test,2
3b2269a71e95016ba463,test,2
433b0e1d5a2bfea25897,test,2
4493c82719cf518cda6d,test,2
49cf8e948eae7a4c3b3b,test,2
4c940d4e5bc81d715f39,test,2
4d0f70b4ef3e344d9217,test,2
50266348e11daac239a2,test,2
510fb7a726c236a73134,test,2
53e8b54d91ffb6376de6,test,2
556aa997631d67d51f67,test,2
56c3f50445c49a2d61cc,test,2
573de9d77c4f05175483,test,2
