seg_stem,split_before
images__test__s1_ds_16dd1f2734ec0f0598311886,test
images__test__s1_ds_1818c3bff2ca0298039f1334,test
images__test__s1_ds_2138b2ead7f49253ff2c3f26,test
images__test__s1_ds_2d083064c0a1eff5d1691d88,test
images__test__s1_ds_2d2cc26cb8be7cf527330a05,test
images__test__s1_ds_2df722e47e5e684fd2249ca8,test
images__test__s1_ds_39f5c235eba689f1f5ecc927,test
images__test__s1_ds_3a06c4b5d128046992965714,test
images__test__s1_ds_3aae161cce2f632561887391,test
images__test__s1_ds_3b1087a2493c830be3de89b6,test
images__test__s1_ds_3d2710e187285f82bd0749a1,test
images__test__s1_ds_3f2eca47d2b34bcce14a3643,test
images__test__s1_ds_43772d6e4320fc576c11736f,test
images__test__s1_ds_4468a2b6d81b7eca9a495108,test
images__test__s1_ds_46040438a77aa585b10e21c5,test
images__test__s1_ds_48977b2ca463c3c19e08162c,test
images__test__s1_ds_4a4db5eb977f07223e02e139,test
images__test__s1_ds_4e85d95dd83ae15ba857240d,test
images__test__s1_ds_4f101777e7f58716a6a641b0,test
images__test__s1_ds_5147a469d44fc5e5a9b8e46b,test
images__test__s1_ds_51d4062736747a55b0fffd4f,test
images__test__s1_ds_52010346acf16d23b1d070a3,test
images__test__s1_ds_5210364158251245b00212a7,test
images__test__s1_ds_5302e19242e7948683ac45fa,test
images__test__s1_ds_5519cc8bb49473a43f0edb4e,test
images__test__s1_ds_57c6c88cb116489bae822427,test
images__test__s1_ds_59ce5a9564158f67954dad3c,test
images__test__s1_ds_5af0c042fbfd0d0e76c0e01a,test
images__test__s1_ds_5b9caf4c0520196c73bbdb55,test
images__test__s1_ds_5b9d3e0d6ebd8073aaaed2e0,test
images__test__s1_ds_5d2fcb9162dce6410c647b6c,test
images__test__s1_ds_5e30bf0eb0b4e14d4482ed97,test
images__test__s1_ds_6024e606d482dfa12b64fceb,test
images__test__s1_ds_606673b93b353e8940258420,test
images__test__s1_ds_62d8df6ec864f09efc49e19a,test
images__test__s1_ds_641f88792b584d1ec87582bb,test
images__test__s1_ds_652fe9e9d31d1a2075118dad,test
images__test__s1_ds_68c20d68d7c41f60ccac45e6,test
images__test__s1_ds_6a2a33db9be862f4bac6ebda,test
images__test__s1_ds_6a30618d6f62defdf45a33fb,test
images__test__s1_ds_6adf2d4e7b60eaa222b9cccd,test
images__test__s1_ds_6bb3f869243b401f82209229,test
images__test__s1_ds_6dd8d060a5990a32d0bbb4d5,test
images__test__s1_ds_6f952a14739c6145acb0acd5,test
images__test__s1_ds_72637522b56a7813a3154598,test
images__test__s1_ds_753165dae20e6c3d98ccda4d,test
images__test__s1_ds_78c6d09b0a3af03b5b5070a4,test
images__test__s1_ds_799934a819b2487f3bd85b03,test
images__test__s1_ds_79d30a866e1182bec591685e,test
images__test__s1_ds_7bf73764ef2ceb2715652693,test
images__test__s1_ds_7d1de374e31e5b0cd0c5e5dd,test
images__test__s1_ds_7e82f6479549c1e6a75c6ba3,test
images__test__s1_ds_8155e377812ab3307b42cb64,test
images__test__s1_ds_816032382cbe1f520f8ba037,test
images__test__s1_ds_8366bcf5abda39b6ce277877,test
images__test__s1_ds_843be6c4f7bd6a7261de2d2b,test
images__test__s1_ds_8730d4d1066077f893a47518,test
images__test__s1_ds_89f9c124a85e8504e404a14a,test
images__test__s1_ds_8bf428e68bc01ab727490937,test
images__test__s1_ds_8c5f813cdfae1d7b4cfa0911,test
images__test__s1_ds_8c6ca9c6506008b6e8ef8e5f,test
images__test__s1_ds_8d39c7ebd3af912a2c994e15,test
images__test__s1_ds_92a3f3e4c33fc09b2ea55748,test
