seg_stem,from,to
images__train__s1_lm_e9009ebce064b1a7439c6783,train,test
images__train__s1_lm_23566c8b41d128b2108957fd,train,test
images__train__s1_lm_a42698108cd5b808b81ba428,train,test
images__train__s3_taco_001211,train,test
images__train__s3_taco_001244,train,test
images__train__s1_lm_c1362b3107ccb75b0f889c86,train,test
images__train__s1_lm_ab0fe03ca95ceb95d4954a9e,train,test
images__train__s1_lm_12d3a7003d2f6a6d956b900e,train,test
images__train__s1_lm_2113a8e421f44f7c77723f87,train,test
images__train__s1_lm_9b334c3e2efd2fce0a18d3fc,train,test
images__train__s3_taco_000617,train,test
images__train__s2_f_17_x004_c208_1105_3,train,test
images__train__s1_lm_2ffc0377fcf0d135a0d2698a,train,test
images__train__s3_taco_000122,train,test
images__train__s3_taco_000764,train,test
images__train__s3_taco_001476,train,test
images__train__s3_taco_000299,train,test
images__train__s3_taco_001321,train,test
images__train__s3_taco_001373,train,test
images__train__s3_taco_001310,train,test
images__train__s3_taco_000714,train,test
images__train__s3_taco_000064,train,test
images__train__s1_rf_75ddf6329a39875a463d2406,train,test
images__train__s3_taco_000115,train,test
images__train__s1_rf_60f7640e26549ff7f27b8c2a,train,test
images__train__s3_taco_000685,train,test
images__train__exp26_rfbat_8d2172fa6e36753fa97b5523,train,test
images__train__s1_lm_7f062103594a8590e6a8a3c5,train,test
images__train__exp26_rfbat_9cd44f7b4bba232b03816d92,train,test
images__train__exp26_rfbat_b6c10d1edf0586fe007a31ce,train,test
images__train__exp26_rfbat_49c0b4044e2fd34a03e01324,train,test
images__train__exp26_rfbat_6e383a58734f34655776d7a0,train,test
images__train__exp26_rfbat_bc46bd10c33a5bbc66690edb,train,test
images__train__exp26_rfbat_c1bb2114eccbf1c86898bac1,train,test
images__train__exp26_rfbat_caf507286a028d75cc76af1b,train,test
images__train__exp26_rfbat_e367029075ea1a168a4be166,train,test
images__train__exp26_gen_3c5698ea11ba5a0e6e2a58b0,train,test
images__train__exp26_gen_adc698b9ee3fcbc894e7efa3,train,test
images__train__exp26_gen_e1a9e081d5a81aab38479c73,train,test
images__train__s1_auto_2f466a12dbdaef59730ab982,train,test
images__train__exp26_gen_429bd4b2d65e6deff5ae3c6a,train,test
images__train__exp26_gen_6f1d0d895416e7b86831792b,train,test
images__train__exp26_gen_f55376482517ded390de0fc1,train,test
images__train__exp26_gen_13708d1464ca906f038fbd7f,train,test
images__train__exp26_gen_660b16601ad3b82472d44b26,train,test
images__train__exp26_gen_dea8d367b0a3efc20fb4b400,train,test
images__train__s1_lm_5e3a306b102f777deb1e8eb9,train,test
images__train__exp26_gen_30c8e62f34aee8437b4e666e,train,test
images__train__exp26_gen_ce28fec47074a43168bcf42c,train,test
images__train__exp26_gen_d567c66b7e3d74972add4355,train,test
images__train__exp26_gen_f7cc8f5c75f536b98d030249,train,test
images__train__exp26_gen_945a0fa6edc641cc1e9b8e41,train,test
images__train__exp26_gen_9ed8eb0abaf5b481a461883d,train,test
images__train__exp26_gen_c93bc767cd24351d90166c37,train,test
images__train__exp26_rfbat_b86c9a5a7c59e720f19ff93d,train,test
images__train__exp26_rfbat_e92a13e439df076f1147732c,train,test
images__train__exp26_rfbat_ee9ad001f50c507ef3550f7c,train,test
images__train__exp26_rfbat_ff038953839e27c2835aea7e,train,test
images__train__exp26_rfbat_2b7f3897c03e9adc528cdaf0,train,test
images__train__exp26_rfbat_7817568c820247f6802c6dcd,train,test
images__train__exp26_rfbat_7d82addcc6ff1b4b07450d2c,train,test
images__train__exp26_rfbat_9d924dc1655f98b9fc971fda,train,test
images__train__exp26_rfbat_eaf69ee071e0b44aaaa55160,train,test
images__train__exp26_rfbat_ffcb9ccdcdcdc9f272decb84,train,test
images__train__exp26_rfbat_2c8f63cf87cfc4f8823c316b,train,test
images__train__exp26_rfbat_c1d625b5daff82f61af2998f,train,test
images__train__exp26_rfbat_c2dc46b5e11c5c2efc47d911,train,test
images__train__exp26_rfbat_e4fad8a89f36f8104753c6a3,train,test
images__train__s1_lm_591a56b52e0297461ad90a64,train,test
images__train__s1_auto_bbbd221d89b61858d3fad6d5,train,test
images__train__exp26_rfbat_02b7bca782f5930e3dbdc04e,train,test
images__train__exp26_rfbat_26651840007fb91024d38f8b,train,test
images__train__exp26_rfbat_4b465424dea067c20f313d80,train,test
images__train__exp26_rfbat_506a73b100ebb08705373c58,train,test
images__train__exp26_rfbat_79439367e55eed3d6501d68e,train,test
images__train__exp26_rfbat_de00ded75d7d7b415cd6cbe9,train,test
images__train__exp26_rfbat_385ab02f9304a133c198443f,train,test
images__train__exp26_rfbat_7391177947d6b6f831b45e99,train,test
images__train__exp26_rfbat_0d8e0bb21137df9bd0966ab7,train,test
images__train__exp26_rfbat_0dfe22350facdf5e929a2b76,train,test
images__train__exp26_rfbat_4f59c61d187efbbb0eb5fa37,train,test
images__train__exp26_rfbat_77ab544876692f00de358846,train,test
