split_group,stem,from,to
2d201e5d2f15a8260446,s1_rf_0eb16e6ab0084b469f96a06c,train,test
2d201e5d2f15a8260446,s3_taco_000039,train,test
b2846301a6561e2ec498,s1_rf_60f7640e26549ff7f27b8c2a,train,test
b2846301a6561e2ec498,s3_taco_000685,train,test
7f0d42055595a436ed78,s1_rf_75ddf6329a39875a463d2406,train,test
7f0d42055595a436ed78,s3_taco_000115,train,test
53e8b54d91ffb6376de6,s1_rf_11638b5b52f9fbe773dafdfb,train,test
53e8b54d91ffb6376de6,s3_taco_000025,train,test
002c25d2759b94249cc0,s1_lm_5e3a306b102f777deb1e8eb9,train,val
50266348e11daac239a2,s1_rf_e7b8e5170a8792e2313428ec,train,test
50266348e11daac239a2,s3_taco_001044,train,test
5dddd29bf1be6418d772,s2_f_17_x001_c192_0928_0,train,test
5dddd29bf1be6418d772,s2_f_17_x001_c192_0928_4,train,test
510fb7a726c236a73134,s2_f_17_x325_c500_0331_2,train,test
510fb7a726c236a73134,s2_f_17_x325_c500_0331_3,train,test
0ea1b586ff10b41d5669,s2_f_17_x005_c015_1117_0,train,test
0ea1b586ff10b41d5669,s2_f_17_x005_c015_1117_2,train,test
1ac88246430a4644ee6c,s2_f_17_x322_c500_0331_3,train,test
1ac88246430a4644ee6c,s2_f_17_x322_c500_0331_2,train,test
1903eeeeeadb24daf454,s2_f_17_x488_c777_0330_4,train,test
1903eeeeeadb24daf454,s2_f_17_x488_c777_0330_1,train,test
3229af1e4dbc70dcee2a,s2_f_17_x004_c205_1105_4,train,test
3229af1e4dbc70dcee2a,s2_f_17_x004_c205_1105_2,train,test
05e4ef7299567266c895,s2_f_17_x014_c205_1116_4,train,test
05e4ef7299567266c895,s2_f_17_x014_c205_1116_1,train,test
e1bd814bcf191b611544,s2_f_17_x001_c203_1123_2,train,test
e1bd814bcf191b611544,s2_f_17_x001_c203_1123_1,train,test
e1bd814bcf191b611544,s2_f_17_x015_c509_0511_2,train,test
e1bd814bcf191b611544,s2_f_17_x015_c509_0511_1,train,test
c92618fa728199a67994,s2_f_17_x120_c172_0107_3,train,test
c92618fa728199a67994,s2_f_17_x120_c172_0107_1,train,test
c92618fa728199a67994,s2_f_17_x003_c172_1021_0,train,test
c92618fa728199a67994,s2_f_17_x003_c172_1021_1,train,test
ece5499ee60cb9611fa5,s2_f_17_x044_c172_0107_2,train,test
ece5499ee60cb9611fa5,s2_f_17_x044_c172_0107_4,train,test
ece5499ee60cb9611fa5,s2_f_17_x011_c172_1020_2,train,test
ece5499ee60cb9611fa5,s2_f_17_x011_c172_1020_3,train,test
eda2d221be82a97dba07,s2_f_17_x010_c172_1012_3,train,test
eda2d221be82a97dba07,s2_f_17_x010_c172_1012_1,train,test
eda2d221be82a97dba07,s2_f_17_x091_c172_0107_1,train,test
eda2d221be82a97dba07,s2_f_17_x091_c172_0107_2,train,test
fa350e9bd066b6fc8783,s2_f_17_x006_c209_1116_1,train,test
fa350e9bd066b6fc8783,s2_f_17_x006_c209_1116_2,train,test
fa350e9bd066b6fc8783,s2_f_17_x010_c209_1212_2,train,test
fa350e9bd066b6fc8783,s2_f_17_x010_c209_1212_3,train,test
aac08e4247f3aae4d16e,s2_f_17_x002_c209_1212_1,train,test
aac08e4247f3aae4d16e,s2_f_17_x002_c209_1212_4,train,test
aac08e4247f3aae4d16e,s2_f_17_x002_c209_1116_4,train,test
aac08e4247f3aae4d16e,s2_f_17_x002_c209_1116_0,train,test
e7d496e50abf6b3023ff,s2_f_17_x014_c172_1014_4,train,test
e7d496e50abf6b3023ff,s2_f_17_x014_c172_1014_3,train,test
e7d496e50abf6b3023ff,s2_f_17_x049_c172_0107_4,train,test
e7d496e50abf6b3023ff,s2_f_17_x049_c172_0107_2,train,test
e8fee2d036125a6dc0d1,s2_f_17_x004_c209_1117_4,train,test
e8fee2d036125a6dc0d1,s2_f_17_x004_c209_1117_3,train,test
e8fee2d036125a6dc0d1,s2_f_17_x005_c209_1212_1,train,test
e8fee2d036125a6dc0d1,s2_f_17_x005_c209_1212_3,train,test
ec79d3618639e7f8e2ef,s2_f_17_x016_c172_1014_3,train,test
