model,metric,class,map50_95,delta_pp
seg_original,box,all,0.7439210622017368,0.0
seg_original,box,general,0.7607417904281949,0.0
seg_original,box,can,0.8347467225740732,0.0
seg_original,box,plastic,0.5031801778932983,0.0
seg_original,box,paper,0.8401117808875883,0.0
seg_original,box,glass,0.6598857460944139,0.0
seg_original,box,vinyl,0.7090041418560509,0.0
seg_original,box,battery,0.899777075678538,0.0
seg_original,seg,all,0.6866159963615898,0.0
seg_original,seg,general,0.6799147127374672,0.0
seg_original,seg,can,0.7926314381610469,0.0
seg_original,seg,plastic,0.43280594758344587,0.0
seg_original,seg,paper,0.7928126375781015,0.0
seg_original,seg,glass,0.6110977496966472,0.0
seg_original,seg,vinyl,0.6485822148879457,0.0
seg_original,seg,battery,0.848467273886474,0.0
seg_first,box,all,0.7332079504854121,-1.071311171632472
seg_first,box,general,0.7606313546382051,-0.011043578998981562
seg_first,box,can,0.8256350574490723,-0.9111665125000945
seg_first,box,plastic,0.4978123150722632,-0.5367862821035074
seg_first,box,paper,0.8208228689280279,-1.9288911959560395
seg_first,box,glass,0.6554696737019863,-0.44160723924275835
seg_first,box,vinyl,0.6785553938763501,-3.0448747979700763
seg_first,box,battery,0.8935289897319795,-0.6248085946558568
seg_first,seg,all,0.6819642051405453,-0.4651791221044421
seg_first,seg,general,0.6853866190762737,0.5471906338806565
seg_first,seg,can,0.7891994429929868,-0.34319951680600314
seg_first,seg,plastic,0.4334453934813138,0.06394458978679074
seg_first,seg,paper,0.7738940911999963,-1.8918546378105194
seg_first,seg,glass,0.6146751694000829,0.35774197034357247
seg_first,seg,vinyl,0.6246888454792445,-2.3893369408701126
seg_first,seg,battery,0.8524598743539183,0.39926004674443183
seg_final,box,all,0.7422757208256401,-0.16453413760967317
seg_final,box,general,0.7458445639503283,-1.489722647786662
seg_final,box,can,0.8339767849685377,-0.07699376055355645
seg_final,box,plastic,0.5244176361542935,2.1237458260995212
seg_final,box,paper,0.8377881415764754,-0.23236393111129017
seg_final,box,glass,0.6616962506226939,0.18105045282800214
seg_final,box,vinyl,0.6999796016698253,-0.902454018622556
seg_final,box,battery,0.8922270668373276,-0.7550008841210487
seg_final,seg,all,0.6871366494877634,0.052065312617366466
seg_final,seg,general,0.6671115491644801,-1.2803163572987053
seg_final,seg,can,0.7902661848566904,-0.23652533043564405
seg_final,seg,plastic,0.45262316310662387,1.9817215523178
seg_final,seg,paper,0.7927187292723149,-0.009390830578659415
seg_final,seg,glass,0.6183151194278839,0.7217369731236656
seg_final,seg,vinyl,0.642737283066146,-0.5844931821799682
seg_final,seg,battery,0.8461845175202047,-0.22827563662692896
