model,metric,class,map50_95,delta_pp
bbox_original,box,all,0.7610661328221966,0.0
bbox_original,box,paper,0.8849724312173064,0.0
bbox_original,box,plastic,0.5527091742483349,0.0
bbox_original,box,can,0.8695450844615433,0.0
bbox_original,box,glass,0.6915562009849782,0.0
bbox_original,box,battery,0.7653516432637824,0.0
bbox_original,box,vinyl,0.7403899053277111,0.0
bbox_original,box,general,0.8229384902517178,0.0
bbox_first,box,all,0.6814002715383632,-7.9665861283833355
bbox_first,box,paper,0.7970365783672493,-8.793585285005712
bbox_first,box,plastic,0.4560721144791808,-9.66370597691541
bbox_first,box,can,0.7812522512093811,-8.82928332521622
bbox_first,box,glass,0.6369082748478625,-5.464792613711566
bbox_first,box,battery,0.7146398619466683,-5.071178131711407
bbox_first,box,vinyl,0.6164821108368309,-12.390779449088019
bbox_first,box,general,0.7674107090813694,-5.5527781170348405
bbox_final,box,all,0.7410622814629887,-2.0003851359207903
bbox_final,box,paper,0.8634603445483255,-2.1512086668980857
bbox_final,box,plastic,0.5457779981130215,-0.6931176135313355
bbox_final,box,can,0.8431476296081482,-2.6397454853395175
bbox_final,box,glass,0.6803813766658544,-1.1174824319123755
bbox_final,box,battery,0.7329184423133073,-3.2433200950475083
bbox_final,box,vinyl,0.6978385990548337,-4.255130627287739
bbox_final,box,general,0.8239115799374293,0.09730896857114146
