model,metric,class,map50_95,delta_pp
bbox_yolo11n,box,all,0.7275973579317014,0.0
bbox_yolo11n,box,paper,0.8583000669534332,0.0
bbox_yolo11n,box,plastic,0.49250369988441206,0.0
bbox_yolo11n,box,can,0.8281137464946662,0.0
bbox_yolo11n,box,glass,0.6721873827257728,0.0
bbox_yolo11n,box,battery,0.7610182903545224,0.0
bbox_yolo11n,box,vinyl,0.6834594713033957,0.0
bbox_yolo11n,box,general,0.7975988478057076,0.0
bbox_yolo26s_aborted,box,all,0.5611511209905653,-16.644623694113612
bbox_yolo26s_aborted,box,paper,0.7427647259041782,-11.5535341049255
bbox_yolo26s_aborted,box,plastic,0.37304750501397455,-11.945619487043752
bbox_yolo26s_aborted,box,can,0.5079260887355367,-32.01876577591295
bbox_yolo26s_aborted,box,glass,0.5576857541587811,-11.450162856699176
bbox_yolo26s_aborted,box,battery,0.6214819607346651,-13.953632961985729
bbox_yolo26s_aborted,box,vinyl,0.4715006690800513,-21.19588022233444
bbox_yolo26s_aborted,box,general,0.6536511433067711,-14.394770449893645
