model,metric,class,map50_95,delta_pp
bbox_yolo11n,box,all,0.7275973579317014,0.0
bbox_yolo11n,box,paper,0.8583000669534332,0.0
bbox_yolo11n,box,plastic,0.49250369988441206,0.0
bbox_yolo11n,box,can,0.8281137464946662,0.0
bbox_yolo11n,box,glass,0.6721873827257728,0.0
bbox_yolo11n,box,battery,0.7610182903545224,0.0
bbox_yolo11n,box,vinyl,0.6834594713033957,0.0
bbox_yolo11n,box,general,0.7975988478057076,0.0
bbox_original,box,all,0.7610661328221966,3.3468774890495157
bbox_original,box,paper,0.8849724312173064,2.6672364263873205
bbox_original,box,plastic,0.5527091742483349,6.020547436392282
bbox_original,box,can,0.8695450844615433,4.143133796687715
bbox_original,box,glass,0.6915562009849782,1.9368818259205334
bbox_original,box,battery,0.7653516432637824,0.43333529092599576
bbox_original,box,vinyl,0.7403899053277111,5.693043402431542
bbox_original,box,general,0.8229384902517178,2.533964244601028
bbox_first,box,all,0.6814002715383632,-4.619708639333819
bbox_first,box,paper,0.7970365783672493,-6.126348858618391
bbox_first,box,plastic,0.4560721144791808,-3.643158540523128
bbox_first,box,can,0.7812522512093811,-4.686149528528505
bbox_first,box,glass,0.6369082748478625,-3.527910787791033
bbox_first,box,battery,0.7146398619466683,-4.637842840785411
bbox_first,box,vinyl,0.6164821108368309,-6.697736046656477
bbox_first,box,general,0.7674107090813694,-3.018813872433812
bbox_final,box,all,0.7410622814629887,1.3464923531287254
bbox_final,box,paper,0.8634603445483255,0.5160277594892348
bbox_final,box,plastic,0.5457779981130215,5.327429822860946
bbox_final,box,can,0.8431476296081482,1.5033883113481972
bbox_final,box,glass,0.6803813766658544,0.8193993940081579
bbox_final,box,battery,0.7329184423133073,-2.8099848041215125
bbox_final,box,vinyl,0.6978385990548337,1.4379127751438014
bbox_final,box,general,0.8239115799374293,2.6312732131721694
