model,metric,class,map50_95,delta_pp
seg_original,box,all,0.7439210622017368,0.0
seg_original,box,general,0.7607417904281949,0.0
seg_original,box,can,0.8347467225740732,0.0
seg_original,box,plastic,0.5031801778932983,0.0
seg_original,box,paper,0.8401117808875883,0.0
seg_original,box,glass,0.6598857460944139,0.0
seg_original,box,vinyl,0.7090041418560509,0.0
seg_original,box,battery,0.899777075678538,0.0
seg_original,seg,all,0.6866159963615898,0.0
seg_original,seg,general,0.6799147127374672,0.0
seg_original,seg,can,0.7926314381610469,0.0
seg_original,seg,plastic,0.43280594758344587,0.0
seg_original,seg,paper,0.7928126375781015,0.0
seg_original,seg,glass,0.6110977496966472,0.0
seg_original,seg,vinyl,0.6485822148879457,0.0
seg_original,seg,battery,0.848467273886474,0.0
seg_yolo26s,box,all,0.5948151312554856,-14.910593094625124
seg_yolo26s,box,general,0.6992441140787509,-6.1497676349444035
seg_yolo26s,box,can,0.6456582080164758,-18.908851455759745
seg_yolo26s,box,plastic,0.361433861734393,-14.174631615890526
seg_yolo26s,box,paper,0.7612666208821336,-7.884516000545472
seg_yolo26s,box,glass,0.5178627042996303,-14.202304179478354
seg_yolo26s,box,vinyl,0.45226269527169694,-25.674144658435395
seg_yolo26s,box,battery,0.7259777145053193,-17.37993611732187
seg_yolo26s,seg,all,0.5580697676487124,-12.854622871287734
seg_yolo26s,seg,general,0.6236277291862095,-5.628698355125772
seg_yolo26s,seg,can,0.6163622355303258,-17.62692026307211
seg_yolo26s,seg,plastic,0.3221736592234969,-11.063228835994899
seg_yolo26s,seg,paper,0.7291074905635362,-6.370514701456531
seg_yolo26s,seg,glass,0.49154469798148714,-11.955305171516006
seg_yolo26s,seg,vinyl,0.4203115907128601,-22.827062417508554
seg_yolo26s,seg,battery,0.7033609703430714,-14.51063035434026
