model,task,split,metric,class,precision,recall,map50,map50_95
seg_final,seg,test,box,all,0.8036853006132876,0.765272064727354,0.8162653933433693,0.7422757208256401
seg_final,seg,test,box,general,0.9211751939563799,0.8146853146853147,0.8307271046559459,0.7458445639503283
seg_final,seg,test,box,can,0.7774130185013048,0.8286604361370716,0.8815163494602843,0.8339767849685377
seg_final,seg,test,box,plastic,0.6546991791018206,0.5862007642483238,0.6330651431759602,0.5244176361542935
seg_final,seg,test,box,paper,0.8210410410200065,0.7929658967388425,0.8724357153958398,0.8377881415764754
seg_final,seg,test,box,glass,0.82905745584878,0.6562905317769131,0.7435662016672462,0.6616962506226939
seg_final,seg,test,box,vinyl,0.7487672258829466,0.743321718931475,0.7992681469088494,0.6999796016698253
seg_final,seg,test,box,battery,0.8736439899817732,0.9347797905735383,0.9532790921394599,0.8922270668373276
seg_final,seg,test,seg,all,0.8101675404037645,0.7493496603688037,0.8053471760028396,0.6871366494877634
seg_final,seg,test,seg,general,0.8988149023973694,0.7920049690860571,0.797093395589948,0.6671115491644801
seg_final,seg,test,seg,can,0.7930704401475334,0.8286604361370716,0.8811318600614861,0.7902661848566904
seg_final,seg,test,seg,plastic,0.6709637701711341,0.5583238958097395,0.6246885044225049,0.45262316310662387
seg_final,seg,test,seg,paper,0.8304372565536614,0.7764060356652949,0.8621925570398321,0.7927187292723149
seg_final,seg,test,seg,glass,0.8411945199854697,0.6458096572061188,0.7413088372893619,0.6183151194278839
seg_final,seg,test,seg,vinyl,0.7615934613457704,0.7234967079314241,0.7903455985857828,0.642737283066146
seg_final,seg,test,seg,battery,0.8750984322254141,0.9207459207459208,0.9406694790309612,0.8461845175202047
