model,task,split,metric,class,precision,recall,map50,map50_95
seg_original,seg,test,box,all,0.790783799913333,0.7702373390892235,0.8124379498552955,0.7439210622017368
seg_original,seg,test,box,general,0.9142711696321684,0.8269230769230769,0.8346209689017408,0.7607417904281949
seg_original,seg,test,box,can,0.7466889921697534,0.8348909657320872,0.8788621542947752,0.8347467225740732
seg_original,seg,test,box,plastic,0.6428046231595561,0.5379388448471121,0.6051635383337401,0.5031801778932983
seg_original,seg,test,box,paper,0.8641451857133715,0.7765586750716154,0.8727243198682799,0.8401117808875883
seg_original,seg,test,box,glass,0.787958471467592,0.6640726329442282,0.7346327239972629,0.6598857460944139
seg_original,seg,test,box,vinyl,0.7207227910260904,0.8013937282229965,0.8080125994651809,0.7090041418560509
seg_original,seg,test,box,battery,0.8588953662247995,0.9498834498834499,0.9530493441260884,0.899777075678538
seg_original,seg,test,seg,all,0.7896166937982889,0.7613706158822321,0.8042581819338641,0.6866159963615898
seg_original,seg,test,seg,general,0.8954860760447462,0.8059440559440559,0.8120094712703108,0.6799147127374672
seg_original,seg,test,seg,can,0.75377455407363,0.8364485981308412,0.8812075436830081,0.7926314381610469
seg_original,seg,test,seg,plastic,0.6436411204263569,0.5254813137032842,0.5949552512089096,0.43280594758344587
seg_original,seg,test,seg,paper,0.8587265966684887,0.7671053469483712,0.8632395633579453,0.7928126375781015
seg_original,seg,test,seg,glass,0.7929126040612221,0.6604944309421106,0.7351900807728858,0.6110977496966472
seg_original,seg,test,seg,vinyl,0.7175629326208102,0.7839721254355401,0.7975521006490021,0.6485822148879457
seg_original,seg,test,seg,battery,0.8652129726927688,0.9501484400714223,0.9456532625949867,0.848467273886474
