model,task,split,metric,class,precision,recall,map50,map50_95
seg_yolo26s,seg,test,box,all,0.6343187342012063,0.6449439137593478,0.6720625842954749,0.5948151312554856
seg_yolo26s,seg,test,box,general,0.6544254660245636,0.8111888111888111,0.808288713186091,0.6992441140787509
seg_yolo26s,seg,test,box,can,0.5564731519223352,0.6993769470404985,0.6923117655975953,0.6456582080164758
seg_yolo26s,seg,test,box,plastic,0.4602194618746332,0.5049970301200517,0.43289256674122245,0.361433861734393
seg_yolo26s,seg,test,box,paper,0.7513772181171858,0.7517146776406035,0.807130854061327,0.7612666208821336
seg_yolo26s,seg,test,box,glass,0.7004920016340653,0.49445679377804064,0.5906660035780608,0.5178627042996303
seg_yolo26s,seg,test,box,vinyl,0.6352142990812993,0.45100833468262697,0.5564700607519917,0.45226269527169694
seg_yolo26s,seg,test,box,battery,0.6820295407543622,0.8018648018648019,0.8166781261520372,0.7259777145053193
seg_yolo26s,seg,test,seg,all,0.63270092693087,0.6434870403735619,0.6657257913400716,0.5580697676487124
seg_yolo26s,seg,test,seg,general,0.6445526680457448,0.798951048951049,0.7878836572829709,0.6236277291862095
seg_yolo26s,seg,test,seg,can,0.5589518742026128,0.7024922118380063,0.6949734799616493,0.6163622355303258
seg_yolo26s,seg,test,seg,plastic,0.46228363219251223,0.5072620357825658,0.43217206007885195,0.3221736592234969
seg_yolo26s,seg,test,seg,paper,0.7513772181171858,0.7517146776406035,0.8021780834630344,0.7291074905635362
seg_yolo26s,seg,test,seg,glass,0.7023294740166784,0.49575381063925983,0.5923870710076757,0.49154469798148714
seg_yolo26s,seg,test,seg,vinyl,0.6253994371731728,0.4440396935676444,0.5367976310716328,0.4203115907128601
seg_yolo26s,seg,test,seg,battery,0.684012184768183,0.8041958041958042,0.8136885565146857,0.7033609703430714
