model,metric,class,map50_95,delta_pp
original,box,all,0.8491934413965256,0.0
original,box,paper,0.8604248412808453,0.0
original,box,plastic,0.8183849132529076,0.0
original,box,can,0.9011265759678275,0.0
original,box,glass,0.877346730369639,0.0
original,box,battery,0.8595619855862893,0.0
original,box,vinyl,0.7724236104915392,0.0
original,box,general,0.855085432826632,0.0
final_selected,box,all,0.8409174430299012,-0.8275998366624404
final_selected,box,paper,0.855599127175126,-0.4825714105719303
final_selected,box,plastic,0.8040370360852194,-1.434787716768826
final_selected,box,can,0.8939156122409079,-0.721096372691965
final_selected,box,glass,0.8661057871003098,-1.1240943269329118
final_selected,box,battery,0.8572289356673274,-0.23330499189618825
final_selected,box,vinyl,0.757136052955063,-1.5287557536476148
final_selected,box,general,0.8523995499853566,-0.26858828412753555
