model,metric,class,map50_95,delta_pp
original,box,all,0.7439210622017368,0.0
original,box,general,0.7607417904281949,0.0
original,box,can,0.8347467225740732,0.0
original,box,plastic,0.5031801778932983,0.0
original,box,paper,0.8401117808875883,0.0
original,box,glass,0.6598857460944139,0.0
original,box,vinyl,0.7090041418560509,0.0
original,box,battery,0.899777075678538,0.0
original,seg,all,0.6866159963615898,0.0
original,seg,general,0.6799147127374672,0.0
original,seg,can,0.7926314381610469,0.0
original,seg,plastic,0.43280594758344587,0.0
original,seg,paper,0.7928126375781015,0.0
original,seg,glass,0.6110977496966472,0.0
original,seg,vinyl,0.6485822148879457,0.0
original,seg,battery,0.848467273886474,0.0
first_transfer,box,all,0.7332079504854121,-1.071311171632472
first_transfer,box,general,0.7606313546382051,-0.011043578998981562
first_transfer,box,can,0.8256350574490723,-0.9111665125000945
first_transfer,box,plastic,0.4978123150722632,-0.5367862821035074
first_transfer,box,paper,0.8208228689280279,-1.9288911959560395
first_transfer,box,glass,0.6554696737019863,-0.44160723924275835
first_transfer,box,vinyl,0.6785553938763501,-3.0448747979700763
first_transfer,box,battery,0.8935289897319795,-0.6248085946558568
first_transfer,seg,all,0.6819642051405453,-0.4651791221044421
first_transfer,seg,general,0.6853866190762737,0.5471906338806565
first_transfer,seg,can,0.7891994429929868,-0.34319951680600314
first_transfer,seg,plastic,0.4334453934813138,0.06394458978679074
first_transfer,seg,paper,0.7738940911999963,-1.8918546378105194
first_transfer,seg,glass,0.6146751694000829,0.35774197034357247
first_transfer,seg,vinyl,0.6246888454792445,-2.3893369408701126
first_transfer,seg,battery,0.8524598743539183,0.39926004674443183
final_selected,box,all,0.7422757208256401,-0.16453413760967317
final_selected,box,general,0.7458445639503283,-1.489722647786662
final_selected,box,can,0.8339767849685377,-0.07699376055355645
final_selected,box,plastic,0.5244176361542935,2.1237458260995212
final_selected,box,paper,0.8377881415764754,-0.23236393111129017
final_selected,box,glass,0.6616962506226939,0.18105045282800214
final_selected,box,vinyl,0.6999796016698253,-0.902454018622556
final_selected,box,battery,0.8922270668373276,-0.7550008841210487
final_selected,seg,all,0.6871366494877634,0.052065312617366466
final_selected,seg,general,0.6671115491644801,-1.2803163572987053
final_selected,seg,can,0.7902661848566904,-0.23652533043564405
final_selected,seg,plastic,0.45262316310662387,1.9817215523178
final_selected,seg,paper,0.7927187292723149,-0.009390830578659415
final_selected,seg,glass,0.6183151194278839,0.7217369731236656
final_selected,seg,vinyl,0.642737283066146,-0.5844931821799682
final_selected,seg,battery,0.8461845175202047,-0.22827563662692896
