model,metric,class,map50_95,delta_pp
original,box,all,0.8501998323976286,0.0
original,box,general,0.8627605684999702,0.0
original,box,can,0.9190080518344044,0.0
original,box,plastic,0.8311911691939932,0.0
original,box,paper,0.8535927279715688,0.0
original,box,glass,0.9075369990786488,0.0
original,box,vinyl,0.7615180035185776,0.0
original,box,battery,0.8157913066862361,0.0
original,seg,all,0.8054695440365036,0.0
original,seg,general,0.7977184418775672,0.0
original,seg,can,0.8911778395550508,0.0
original,seg,plastic,0.7771047549550987,0.0
original,seg,paper,0.821467377562467,0.0
original,seg,glass,0.8713551124745834,0.0
original,seg,vinyl,0.7133950461065994,0.0
original,seg,battery,0.7660682357241584,0.0
final_selected,box,all,0.8486689710797025,-0.15308613179261243
final_selected,box,general,0.8680415596586378,0.5280991158667647
final_selected,box,can,0.9207689731586486,0.17609213242442134
final_selected,box,plastic,0.8295937994554476,-0.15973697385455177
final_selected,box,paper,0.8508500225383887,-0.2742705433180115
final_selected,box,glass,0.9073786035804721,-0.015839549817675547
final_selected,box,vinyl,0.7600596742763479,-0.14583292422296612
final_selected,box,battery,0.8039901648899745,-1.1801141796261572
final_selected,seg,all,0.8057364215007088,0.0266877464205173
final_selected,seg,general,0.8019846307492486,0.4266188871681398
final_selected,seg,can,0.8948650000604209,0.3687160505370102
final_selected,seg,plastic,0.7747651657978029,-0.23395891572958183
final_selected,seg,paper,0.8225540121464249,0.10866345839578573
final_selected,seg,glass,0.8714603691434475,0.010525666886407326
final_selected,seg,vinyl,0.7157713007556097,0.23762546490102565
final_selected,seg,battery,0.7587544718520071,-0.7313763872151324
